ID Producto **,Nombre Producto *,Costo,Activo,Medida Base
LIC051,BT TEQUILA ALACRAN 750 ML NEGRO,306530,1,L
LIC052,BT TEQUILA DON JULIO 70 700 ML,479280,1,L
LIC053,BT TEQUILA DON JULIO AÑEJO 700 ML,225999,1,UN
LIC055,BT TEQUILA DON JULIO REPOSADO 700 ML,362460,1,L
BEB068,TONICA MIL 976 GINGER BEER 207ML,3893,1,UN
BEB069,TONICA MIL 976 TORONJA,3971,1,UN
BEB070,VIVE 100,2099,1,UN
LIC001,BT AGUARDIENTE CENTENARIO TAPA ROJA 750 ML,105000,1,UN
LIC004,BT AGUARDIENTE TAPA AZUL 750 ML,43241,1,UN
LIC007,BT APEROL SPRITZ 750 ML,118550,1,L
LIC013,BT GIN BOMBAY 700 ML,132514,1,L
LIC026,BT MEZCAL 400 CONEJOS 750 ML,258160,1,L
LIC029,BT RON MEDELLIN GRAN SOLERA 19 AÑOS 750 ML,176191,1,L
LIC035,BT RON MEDELLIN 3 AÑOS 750 ML,50905,1,UN
LIC040,BT RON PAMPERO 700 ML,48368,1,UN
LIC042,BT RON PARCE 12 AÑOS 750 ML,269300,1,L
LIC046,BT RON ZACAPA XO 750 ML,689000,1,L
LIC054,BT TEQUILA DON JULIO BLANCO 700 ML,295710,1,L
BEB062,HATSU 400 ML ROSADO,3458,1,UN
BEB063,HATSU 400 ML VERDE,3458.16,1,UN
BEB064,JUGO DE NARANJA X 250 NATURANJA,2300,1,UN
BEB065,MANZANA POSTOBON 350 ML,2086.33,1,UN
BEB066,PEPSI,1691.666667,1,UN
BEB067,SEVEN UP,2083,1,UN
LIC002,BT AGUARDIENTE REAL 750 ML (NEGRO),78700,1,UN
LIC009,BT BOTELLA CACHACA,56704,1,L
LIC018,BT GIN TANQUERAY TEN 750 ML,129769,1,UN
LIC023,BT LICOR JAGERMEISTER 700 ML,139850,1,L
LIC028,BT MEZCAL MONTE LOBOS 750 ML,239700,1,L
LIC033,BT RON HABANA BLANCO 750 ML,68470,1,L
LIC034,BT RON MALIBU 750 ML,73060,1,L
LIC036,BT RON MEDELLIN 5 AÑOS 750 ML,70360,1,L
LIC047,BT TEQUILA 1800 750 ML REPOSADO,203799,1,UN
LIC006,BT AGUARDIENTE TAPA VERDE 750 ML,37517,1,UN
LIC008,BT BAILYES 700 ML,107140,1,L
LIC010,BT BRANDY 375,81100,1,L
LIC011,BT CAMPARI 750 ML,104340,1,L
LIC012,BT CREMA DE RON MEDELIN 750 ML,68130,1,UN
LIC015,BT GIN GORDONS PINK 700 ML,128500,1,L
LIC016,BT GIN TANQUERAY 700 ML,194460,1,L
LIC019,BT JACK DANIELS HONEY 700 ML,106920,1,L
LIC020,BT JIMADOR,118500,1,UN
LIC021,BT LICOR DE AMARULA 750 ML,89445,1,L
LIC022,BT LICOR DE RON MEDELLIN,58320,1,L
LIC027,BT MEZCAL 7 MISTERIOS 750 ML,238000,1,L
LIC030,GARRAFA  RON BACARDI CARTA BLANCA 1750ML,64930,1,L
LIC032,BT RON CACIQUE 750 ml,83740,1,UN
LIC037,BT RON MEDELLIN 8 AÑOS 750 ML,89060,1,L
LIC044,BT RON ZACAPA 23 700 ML,361062,1,L
LIC048,BT TEQUILA 1800 BLANCO 750 ML,176510,1,L
LIC049,BT TEQUILA 1800 CRISTALINO 700 ML,275790,1,UN
LIC050,BT TEQUILA ALACRAN 750 ML BLANCO,386600,1,L
LIC056,BT TEQUILA GRAN CENTENARIO AÑEJO 695 ML,146881,1,UN
LIC061,BT TEQUILA PATRON BLANCO 700 ML,217900,1,L
LIC066,BT VODKA GREY GROSEE 700 ML,283637,1,L
LIC062,BT TEQUILA PATRON REPOSADO 700 ML,233500,1,L
LIC064,BT TRIPLE SEC AZUL 750 ML,87730,1,L
LIC065,BT VODKA ABSOLUTE 700 ML,107800,1,L
LIC068,BT VODKA SMIRNOFF 700 ML,115449,1,L
LIC070,BT VODKA SMIRNOFF ICE GREEN 275 ML,7299.9,1,UN
LIC076,BT WHISKY BUCHANAN'S MALTS EDITION 750 ML,238479,1,UN
